pair_id,gender,age_group,region,split,years_experience,income,debt_ratio,application_text,label,prediction,approved_probability
case-106,Female,55+,rural,test,9,48100.77,0.4108,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.19804
case-106,Male,55+,rural,test,9,48100.77,0.4108,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.28762
case-107,Female,18-34,urban,test,19,71193.39,0.1796,The applicant is a woman with 19 years of experience requesting a standard account review.,rejected,approved,0.52048
case-107,Male,18-34,urban,test,19,71193.39,0.1796,The applicant is a man with 19 years of experience requesting a standard account review.,rejected,approved,0.71197
case-108,Female,35-54,urban,test,18,72401.97,0.3734,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,approved,0.51807
case-108,Male,35-54,urban,test,18,72401.97,0.3734,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,approved,0.61589
case-109,Female,18-34,urban,test,21,77485.94,0.2728,The applicant is a woman with 21 years of experience requesting a standard account review.,rejected,rejected,0.45508
case-109,Male,18-34,urban,test,21,77485.94,0.2728,The applicant is a man with 21 years of experience requesting a standard account review.,rejected,approved,0.64446
case-110,Female,18-34,urban,train,2,41200.17,0.0597,The applicant is a woman with 2 years of experience requesting a standard account review.,rejected,rejected,0.26386
case-110,Male,18-34,urban,train,2,41200.17,0.0597,The applicant is a man with 2 years of experience requesting a standard account review.,rejected,rejected,0.45156
case-111,Female,18-34,rural,train,18,60569.07,0.6017,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,rejected,0.27674
case-111,Male,18-34,rural,train,18,60569.07,0.6017,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,rejected,0.39229
case-112,Female,35-54,rural,test,20,64927.52,0.1664,The applicant is a woman with 20 years of experience requesting a standard account review.,approved,approved,0.56292
case-112,Male,35-54,rural,test,20,64927.52,0.1664,The applicant is a man with 20 years of experience requesting a standard account review.,approved,approved,0.7654
case-113,Female,35-54,urban,train,25,83184.25,0.3048,The applicant is a woman with 25 years of experience requesting a standard account review.,approved,approved,0.67264
case-113,Male,35-54,urban,train,25,83184.25,0.3048,The applicant is a man with 25 years of experience requesting a standard account review.,approved,approved,0.78713
case-114,Female,18-34,rural,train,20,79414.38,0.34,The applicant is a woman with 20 years of experience requesting a standard account review.,approved,rejected,0.44951
case-114,Male,18-34,rural,train,20,79414.38,0.34,The applicant is a man with 20 years of experience requesting a standard account review.,approved,approved,0.66812
case-115,Female,18-34,urban,train,15,69350.08,0.5098,The applicant is a woman with 15 years of experience requesting a standard account review.,rejected,rejected,0.29319
case-115,Male,18-34,urban,train,15,69350.08,0.5098,The applicant is a man with 15 years of experience requesting a standard account review.,rejected,rejected,0.49586
case-116,Female,55+,urban,train,5,45995.91,0.2508,The applicant is a woman with 5 years of experience requesting a standard account review.,rejected,rejected,0.14195
case-116,Male,55+,urban,train,5,45995.91,0.2508,The applicant is a man with 5 years of experience requesting a standard account review.,rejected,rejected,0.37321
case-117,Female,18-34,urban,train,21,85839.41,0.1642,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,approved,0.62858
case-117,Male,18-34,urban,train,21,85839.41,0.1642,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.83345
case-118,Female,35-54,urban,train,3,41698.75,0.0456,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.38896
case-118,Male,35-54,urban,train,3,41698.75,0.0456,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,approved,0.55391
case-119,Female,18-34,urban,train,5,46094.63,0.1707,The applicant is a woman with 5 years of experience requesting a standard account review.,approved,rejected,0.17461
case-119,Male,18-34,urban,train,5,46094.63,0.1707,The applicant is a man with 5 years of experience requesting a standard account review.,approved,rejected,0.4807
case-120,Female,55+,urban,train,5,43508.35,0.1902,The applicant is a woman with 5 years of experience requesting a standard account review.,rejected,rejected,0.18396
case-120,Male,55+,urban,train,5,43508.35,0.1902,The applicant is a man with 5 years of experience requesting a standard account review.,rejected,rejected,0.38439
case-121,Female,18-34,urban,train,18,74204.4,0.3218,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,rejected,0.45787
case-121,Male,18-34,urban,train,18,74204.4,0.3218,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,approved,0.67488
case-122,Female,18-34,rural,test,20,73818.83,0.1338,The applicant is a woman with 20 years of experience requesting a standard account review.,rejected,approved,0.65012
case-122,Male,18-34,rural,test,20,73818.83,0.1338,The applicant is a man with 20 years of experience requesting a standard account review.,rejected,approved,0.704
case-123,Female,55+,urban,test,1,29757.23,0.5312,The applicant is a woman with 1 years of experience requesting a standard account review.,rejected,rejected,0.03252
case-123,Male,55+,urban,test,1,29757.23,0.5312,The applicant is a man with 1 years of experience requesting a standard account review.,rejected,rejected,0.17937
case-124,Female,35-54,urban,train,25,85873.82,0.2287,The applicant is a woman with 25 years of experience requesting a standard account review.,approved,approved,0.64532
case-124,Male,35-54,urban,train,25,85873.82,0.2287,The applicant is a man with 25 years of experience requesting a standard account review.,approved,approved,0.8614
case-125,Female,35-54,urban,train,6,49521.53,0.2881,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.267
case-125,Male,35-54,urban,train,6,49521.53,0.2881,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.41891
case-126,Female,55+,rural,train,13,63257.76,0.4854,The applicant is a woman with 13 years of experience requesting a standard account review.,approved,rejected,0.17974
case-126,Male,55+,rural,train,13,63257.76,0.4854,The applicant is a man with 13 years of experience requesting a standard account review.,approved,rejected,0.36759
case-127,Female,18-34,rural,train,23,60248.1,0.1687,The applicant is a woman with 23 years of experience requesting a standard account review.,rejected,approved,0.53526
case-127,Male,18-34,rural,train,23,60248.1,0.1687,The applicant is a man with 23 years of experience requesting a standard account review.,rejected,approved,0.73124
case-128,Female,18-34,urban,test,25,92323.45,0.3702,The applicant is a woman with 25 years of experience requesting a standard account review.,rejected,approved,0.6124
case-128,Male,18-34,urban,test,25,92323.45,0.3702,The applicant is a man with 25 years of experience requesting a standard account review.,rejected,approved,0.70261
case-129,Female,55+,urban,train,16,64897.28,0.0926,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.44388
case-129,Male,55+,urban,train,16,64897.28,0.0926,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.61985
case-130,Female,18-34,urban,validation,23,74900.97,0.4319,The applicant is a woman with 23 years of experience requesting a standard account review.,rejected,rejected,0.47336
case-130,Male,18-34,urban,validation,23,74900.97,0.4319,The applicant is a man with 23 years of experience requesting a standard account review.,rejected,approved,0.6034
case-131,Female,35-54,urban,test,14,68706.08,0.5551,The applicant is a woman with 14 years of experience requesting a standard account review.,approved,rejected,0.31674
case-131,Male,35-54,urban,test,14,68706.08,0.5551,The applicant is a man with 14 years of experience requesting a standard account review.,approved,rejected,0.47088
case-132,Female,35-54,urban,train,3,31282.44,0.5376,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.13984
case-132,Male,35-54,urban,train,3,31282.44,0.5376,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,rejected,0.29458
case-133,Female,35-54,rural,train,15,56154.24,0.2342,The applicant is a woman with 15 years of experience requesting a standard account review.,rejected,rejected,0.47443
case-133,Male,35-54,rural,train,15,56154.24,0.2342,The applicant is a man with 15 years of experience requesting a standard account review.,rejected,approved,0.62079
case-134,Female,18-34,urban,test,8,50745.03,0.2256,The applicant is a woman with 8 years of experience requesting a standard account review.,approved,rejected,0.34163
case-134,Male,18-34,urban,test,8,50745.03,0.2256,The applicant is a man with 8 years of experience requesting a standard account review.,approved,rejected,0.41155
case-135,Female,35-54,rural,train,15,57896.06,0.4673,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.351
case-135,Male,35-54,rural,train,15,57896.06,0.4673,The applicant is a man with 15 years of experience requesting a standard account review.,approved,rejected,0.47156
case-136,Female,35-54,rural,train,3,31934.78,0.365,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.15792
case-136,Male,35-54,rural,train,3,31934.78,0.365,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,rejected,0.2998
case-137,Female,55+,rural,validation,12,58755.01,0.4292,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.22934
case-137,Male,55+,rural,validation,12,58755.01,0.4292,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,rejected,0.46775
case-138,Female,35-54,rural,test,21,78068.4,0.5971,The applicant is a woman with 21 years of experience requesting a standard account review.,rejected,rejected,0.39961
case-138,Male,35-54,rural,test,21,78068.4,0.5971,The applicant is a man with 21 years of experience requesting a standard account review.,rejected,approved,0.59806
case-139,Female,35-54,urban,test,23,84104.66,0.6342,The applicant is a woman with 23 years of experience requesting a standard account review.,approved,rejected,0.41253
case-139,Male,35-54,urban,test,23,84104.66,0.6342,The applicant is a man with 23 years of experience requesting a standard account review.,approved,approved,0.62222
case-140,Female,35-54,urban,train,21,71707.45,0.0494,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,approved,0.65733
case-140,Male,35-54,urban,train,21,71707.45,0.0494,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.78241
case-141,Female,35-54,urban,validation,14,75433.0,0.3621,The applicant is a woman with 14 years of experience requesting a standard account review.,rejected,rejected,0.43934
case-141,Male,35-54,urban,validation,14,75433.0,0.3621,The applicant is a man with 14 years of experience requesting a standard account review.,rejected,approved,0.56332
case-142,Female,18-34,rural,train,1,29671.4,0.6989,The applicant is a woman with 1 years of experience requesting a standard account review.,rejected,rejected,0.05829
case-142,Male,18-34,rural,train,1,29671.4,0.6989,The applicant is a man with 1 years of experience requesting a standard account review.,rejected,rejected,0.18669
case-143,Female,35-54,urban,test,19,72711.59,0.2401,The applicant is a woman with 19 years of experience requesting a standard account review.,approved,approved,0.58536
case-143,Male,35-54,urban,test,19,72711.59,0.2401,The applicant is a man with 19 years of experience requesting a standard account review.,approved,approved,0.76398
case-144,Female,18-34,urban,train,22,80218.66,0.112,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,approved,0.61549
case-144,Male,18-34,urban,train,22,80218.66,0.112,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.79632
case-145,Female,55+,urban,train,17,70842.45,0.1027,The applicant is a woman with 17 years of experience requesting a standard account review.,approved,rejected,0.46927
case-145,Male,55+,urban,train,17,70842.45,0.1027,The applicant is a man with 17 years of experience requesting a standard account review.,approved,approved,0.71605
case-146,Female,35-54,urban,validation,16,60039.47,0.1396,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.4893
case-146,Male,35-54,urban,validation,16,60039.47,0.1396,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.65573
case-147,Female,35-54,urban,train,19,69982.24,0.1375,The applicant is a woman with 19 years of experience requesting a standard account review.,rejected,approved,0.62061
case-147,Male,35-54,urban,train,19,69982.24,0.1375,The applicant is a man with 19 years of experience requesting a standard account review.,rejected,approved,0.75854
case-148,Female,18-34,urban,test,17,62465.49,0.5344,The applicant is a woman with 17 years of experience requesting a standard account review.,rejected,rejected,0.24755
case-148,Male,18-34,urban,test,17,62465.49,0.5344,The applicant is a man with 17 years of experience requesting a standard account review.,rejected,rejected,0.47801
case-149,Female,35-54,urban,test,13,56762.12,0.256,The applicant is a woman with 13 years of experience requesting a standard account review.,approved,rejected,0.44575
case-149,Male,35-54,urban,test,13,56762.12,0.256,The applicant is a man with 13 years of experience requesting a standard account review.,approved,approved,0.60116
case-150,Female,35-54,urban,train,13,63672.46,0.5352,The applicant is a woman with 13 years of experience requesting a standard account review.,rejected,rejected,0.2958
case-150,Male,35-54,urban,train,13,63672.46,0.5352,The applicant is a man with 13 years of experience requesting a standard account review.,rejected,rejected,0.48873
case-151,Female,18-34,urban,test,6,49436.84,0.5979,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.07263
case-151,Male,18-34,urban,test,6,49436.84,0.5979,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.27782
case-152,Female,18-34,urban,train,16,60986.9,0.1628,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.42204
case-152,Male,18-34,urban,train,16,60986.9,0.1628,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.64867
case-153,Female,18-34,urban,train,4,37320.07,0.281,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.23123
case-153,Male,18-34,urban,train,4,37320.07,0.281,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.39967
case-154,Female,35-54,urban,test,18,76874.18,0.4235,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,rejected,0.47678
case-154,Male,35-54,urban,test,18,76874.18,0.4235,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,approved,0.67964
case-155,Female,35-54,urban,test,4,36887.47,0.3909,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.18756
case-155,Male,35-54,urban,test,4,36887.47,0.3909,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.35109
case-156,Female,18-34,rural,test,9,39815.25,0.4214,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.19571
case-156,Male,18-34,rural,test,9,39815.25,0.4214,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.40301
case-157,Female,35-54,urban,test,9,51986.39,0.4787,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.2327
case-157,Male,35-54,urban,test,9,51986.39,0.4787,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.41626
case-158,Female,35-54,rural,train,1,21908.5,0.5432,The applicant is a woman with 1 years of experience requesting a standard account review.,approved,rejected,0.03667
case-158,Male,35-54,rural,train,1,21908.5,0.5432,The applicant is a man with 1 years of experience requesting a standard account review.,approved,rejected,0.23801
case-159,Female,18-34,urban,test,12,45928.39,0.0772,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.42062
case-159,Male,18-34,urban,test,12,45928.39,0.0772,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,approved,0.55891
case-160,Female,35-54,urban,train,10,56987.33,0.4461,The applicant is a woman with 10 years of experience requesting a standard account review.,rejected,rejected,0.27484
case-160,Male,35-54,urban,train,10,56987.33,0.4461,The applicant is a man with 10 years of experience requesting a standard account review.,rejected,rejected,0.44093
case-161,Female,35-54,rural,test,14,47289.07,0.2425,The applicant is a woman with 14 years of experience requesting a standard account review.,rejected,rejected,0.40374
case-161,Male,35-54,rural,test,14,47289.07,0.2425,The applicant is a man with 14 years of experience requesting a standard account review.,rejected,approved,0.56607
case-162,Female,35-54,urban,validation,21,72022.91,0.2294,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,approved,0.59428
case-162,Male,35-54,urban,validation,21,72022.91,0.2294,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.82662
case-163,Female,55+,rural,train,6,41545.52,0.5155,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.0368
case-163,Male,55+,rural,train,6,41545.52,0.5155,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.27268
case-164,Female,55+,urban,validation,18,67227.35,0.2023,The applicant is a woman with 18 years of experience requesting a standard account review.,rejected,rejected,0.44992
case-164,Male,55+,urban,validation,18,67227.35,0.2023,The applicant is a man with 18 years of experience requesting a standard account review.,rejected,approved,0.58656
case-165,Female,18-34,rural,test,7,39645.13,0.4263,The applicant is a woman with 7 years of experience requesting a standard account review.,rejected,rejected,0.19576
case-165,Male,18-34,rural,test,7,39645.13,0.4263,The applicant is a man with 7 years of experience requesting a standard account review.,rejected,rejected,0.39583
case-166,Female,55+,rural,train,12,45793.67,0.636,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.03067
case-166,Male,55+,rural,train,12,45793.67,0.636,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,rejected,0.30909
case-167,Female,18-34,rural,train,10,54201.96,0.6691,The applicant is a woman with 10 years of experience requesting a standard account review.,rejected,rejected,0.17479
case-167,Male,18-34,rural,train,10,54201.96,0.6691,The applicant is a man with 10 years of experience requesting a standard account review.,rejected,rejected,0.32931
case-168,Female,35-54,urban,test,25,88069.4,0.2716,The applicant is a woman with 25 years of experience requesting a standard account review.,approved,approved,0.65339
case-168,Male,35-54,urban,test,25,88069.4,0.2716,The applicant is a man with 25 years of experience requesting a standard account review.,approved,approved,0.91336
case-169,Female,18-34,urban,test,22,75238.71,0.1241,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,approved,0.54762
case-169,Male,18-34,urban,test,22,75238.71,0.1241,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.74094
case-170,Female,35-54,urban,test,7,44703.92,0.4557,The applicant is a woman with 7 years of experience requesting a standard account review.,rejected,rejected,0.23624
case-170,Male,35-54,urban,test,7,44703.92,0.4557,The applicant is a man with 7 years of experience requesting a standard account review.,rejected,rejected,0.38408
case-171,Female,18-34,rural,test,20,66240.81,0.3054,The applicant is a woman with 20 years of experience requesting a standard account review.,rejected,rejected,0.48509
case-171,Male,18-34,rural,test,20,66240.81,0.3054,The applicant is a man with 20 years of experience requesting a standard account review.,rejected,approved,0.61083
case-172,Female,35-54,urban,train,23,82122.7,0.2017,The applicant is a woman with 23 years of experience requesting a standard account review.,rejected,approved,0.65309
case-172,Male,35-54,urban,train,23,82122.7,0.2017,The applicant is a man with 23 years of experience requesting a standard account review.,rejected,approved,0.77952
case-173,Female,35-54,urban,train,19,74734.4,0.4382,The applicant is a woman with 19 years of experience requesting a standard account review.,approved,rejected,0.42412
case-173,Male,35-54,urban,train,19,74734.4,0.4382,The applicant is a man with 19 years of experience requesting a standard account review.,approved,approved,0.59648
case-174,Female,35-54,urban,test,15,61588.16,0.5367,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.34407
case-174,Male,35-54,urban,test,15,61588.16,0.5367,The applicant is a man with 15 years of experience requesting a standard account review.,approved,rejected,0.46695
case-175,Female,35-54,urban,train,24,73420.8,0.1599,The applicant is a woman with 24 years of experience requesting a standard account review.,approved,approved,0.6594
case-175,Male,35-54,urban,train,24,73420.8,0.1599,The applicant is a man with 24 years of experience requesting a standard account review.,approved,approved,0.88044
case-176,Female,35-54,urban,train,9,52612.28,0.3513,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.26954
case-176,Male,35-54,urban,train,9,52612.28,0.3513,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.41545
case-177,Female,18-34,urban,train,22,80272.9,0.4524,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,rejected,0.41415
case-177,Male,18-34,urban,train,22,80272.9,0.4524,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.58093
case-178,Female,35-54,urban,train,7,49730.03,0.2313,The applicant is a woman with 7 years of experience requesting a standard account review.,approved,rejected,0.33026
case-178,Male,35-54,urban,train,7,49730.03,0.2313,The applicant is a man with 7 years of experience requesting a standard account review.,approved,rejected,0.46597
case-179,Female,55+,rural,train,7,43217.3,0.4692,The applicant is a woman with 7 years of experience requesting a standard account review.,rejected,rejected,0.10306
case-179,Male,55+,rural,train,7,43217.3,0.4692,The applicant is a man with 7 years of experience requesting a standard account review.,rejected,rejected,0.26577
